id	prefecture	nationality	required_documents	total_fees_yen	processing_steps	office_address	official_link	last_updated
11	Fukuoka	China	"Passport,Residence Card,Original License,JAF Translation,Photo"	7450	"Document Check;Aptitude Test;Written Test (Chinese);Practical Test"	"1-1-1 Hanahata, Minami-ku, Fukuoka"	https://www.police.pref.fukuoka.jp/	2024-05-17
12	Tokyo	Canada	"Passport,Residence Card,Original License,JAF Translation,Photo"	4500	"Document Check;Aptitude Test"	"1-12-36 Samezu, Shinagawa-ku, Tokyo"	https://www.keishicho.metro.tokyo.lg.jp/	2024-05-15
13	Osaka	South Korea	"Passport,Residence Card,Original License,JAF Translation,Photo"	4500	"Document Check;Aptitude Test"	"1-1-10 Midorimachi, Kadoma, Osaka"	https://www.police.pref.osaka.lg.jp/	2024-05-20
14	Aichi	Philippines	"Passport,Residence Card,Original License,JAF Translation,Photo"	7650	"Document Check;Aptitude Test;Written Test (English);Practical Test"	"2-1 Hirabari Minami, Tempaku-ku, Nagoya, Aichi"	https://www.pref.aichi.jp/police/	2024-05-18
15	Chiba	China	"Passport,Residence Card,Original License,JAF Translation,Photo"	7700	"Document Check;Aptitude Test;Written Test (Chinese);Practical Test"	"2-1 Hamada, Mihama-ku, Chiba"	https://www.police.pref.chiba.jp/	2024-05-21
16	Hyogo	USA	"Passport,Residence Card,Original License,JAF Translation,Photo"	4500	"Document Check;Aptitude Test"	"3-1-1 Akashi-cho, Chuo-ku, Kobe, Hyogo"	https://www.police.pref.hyogo.jp/	2024-05-10
17	Osaka	Australia	"Passport,Residence Card,Original License,JAF Translation,Photo"	4500	"Document Check;Aptitude Test"	"1-1-10 Midorimachi, Kadoma, Osaka"	https://www.police.pref.osaka.lg.jp/	2024-05-20
18	Tokyo	France	"Passport,Residence Card,Original License,JAF Translation,Photo"	4500	"Document Check;Aptitude Test"	"1-12-36 Samezu, Shinagawa-ku, Tokyo"	https://www.keishicho.metro.tokyo.lg.jp/	2024-05-15
19	Aichi	Germany	"Passport,Residence Card,Original License,JAF Translation,Photo"	4500	"Document Check;Aptitude Test"	"2-1 Hirabari Minami, Tempaku-ku, Nagoya, Aichi"	https://www.pref.aichi.jp/police/	2024-05-18
20	Kanagawa	Vietnam	"Passport,Residence Card,Original License,JAF Translation,Photo"	7650	"Document Check;Aptitude Test;Written Test (Vietnamese);Practical Test"	"2-3-1 Nakao, Asahi-ku, Yokohama, Kanagawa"	https://www.police.pref.kanagawa.jp/	2024-05-19
21	Kyoto	Vietnam	"Passport,Residence Card,Original License,JAF Translation,Photo"	7500	"Document Check;Aptitude Test;Written Test (Vietnamese);Practical Test"	"647 Hazukashi Furutono-cho, Fushimi-ku, Kyoto"	https://www.pref.kyoto.jp/fukei/	2024-05-22
22	Hiroshima	Vietnam	"Passport,Residence Card,Original License,JAF Translation,Photo"	7600	"Document Check;Aptitude Test;Written Test (Vietnamese);Practical Test"	"1-4-1 Ishiuchi-minami, Saeki-ku, Hiroshima"	https://www.police.pref.hiroshima.jp/	2024-05-14
23	Shizuoka	Vietnam	"Passport,Residence Card,Original License,JAF Translation,Photo"	7550	"Document Check;Aptitude Test;Written Test (Vietnamese);Practical Test"	"6-16-1 Aoi-cho, Chuo-ku, Hamamatsu, Shizuoka"	https://www.police.pref.shizuoka.jp/	2024-05-16
24	Okayama	Vietnam	"Passport,Residence Card,Original License,JAF Translation,Photo"	7500	"Document Check;Aptitude Test;Written Test (Vietnamese);Practical Test"	"7-15-1 Urayasu-nishi, Minami-ku, Okayama"	https://www.pref.okayama.jp/page/119934.html	2024-05-13
25	Gifu	Vietnam	"Passport,Residence Card,Original License,JAF Translation,Photo"	7600	"Document Check;Aptitude Test;Written Test (Vietnamese);Practical Test"	"3-42-1 Mitahora-higashi, Gifu"	https://www.pref.gifu.lg.jp/police/	2024-05-17
26	Osaka	Indonesia	"Passport,Residence Card,Original License,JAF Translation,Photo"	7500	"Document Check;Aptitude Test;Written Test (English);Practical Test"	"1-1-10 Midorimachi, Kadoma, Osaka"	https://www.police.pref.osaka.lg.jp/	2024-05-20
27	Tokyo	India	"Passport,Residence Card,Original License,JAF Translation,Photo"	7800	"Document Check;Aptitude Test;Written Test (English);Practical Test"	"1-12-36 Samezu, Shinagawa-ku, Tokyo"	https://www.keishicho.metro.tokyo.lg.jp/	2024-05-15
28	Aichi	Nepal	"Passport,Residence Card,Original License,JAF Translation,Photo"	7650	"Document Check;Aptitude Test;Written Test (English);Practical Test"	"2-1 Hirabari Minami, Tempaku-ku, Nagoya, Aichi"	https://www.pref.aichi.jp/police/	2024-05-18
29	Kanagawa	Taiwan	"Passport,Residence Card,Original License,JAF Translation,Photo"	4500	"Document Check;Aptitude Test"	"2-3-1 Nakao, Asahi-ku, Yokohama, Kanagawa"	https://www.police.pref.kanagawa.jp/	2024-05-19
30	Chiba	South Korea	"Passport,Residence Card,Original License,JAF Translation,Photo"	4500	"Document Check;Aptitude Test"	"2-1 Hamada, Mihama-ku, Chiba"	https://www.police.pref.chiba.jp/	2024-05-21
31	Hokkaido	Vietnam	"Passport,Residence Card,Original License,JAF Translation,Photo"	7800	"Document Check;Aptitude Test;Written Test (Vietnamese);Practical Test"	"5-4-1 Akebono 5 Jo, Teine-ku, Sapporo, Hokkaido"	https://www.police.pref.hokkaido.lg.jp/	2024-05-09
32	Miyagi	Vietnam	"Passport,Residence Card,Original License,JAF Translation,Photo"	7600	"Document Check;Aptitude Test;Written Test (Vietnamese);Practical Test"	"4-8-1 Nanakita, Izumi-ku, Sendai, Miyagi"	https://www.police.pref.miyagi.jp/	2024-05-12
33	Osaka	USA	"Passport,Residence Card,Original License,JAF Translation,Photo"	4500	"Document Check;Aptitude Test"	"1-1-10 Midorimachi, Kadoma, Osaka"	https://www.police.pref.osaka.lg.jp/	2024-05-20
34	Tokyo	UK	"Passport,Residence Card,Original License,JAF Translation,Photo"	4500	"Document Check;Aptitude Test"	"1-12-36 Samezu, Shinagawa-ku, Tokyo"	https://www.keishicho.metro.tokyo.lg.jp/	2024-05-15
35	Aichi	Australia	"Passport,Residence Card,Original License,JAF Translation,Photo"	4500	"Document Check;Aptitude Test"	"2-1 Hirabari Minami, Tempaku-ku, Nagoya, Aichi"	https://www.pref.aichi.jp/police/	2024-05-18
36	Hyogo	New Zealand	"Passport,Residence Card,Original License,JAF Translation,Photo"	4500	"Document Check;Aptitude Test"	"3-1-1 Akashi-cho, Chuo-ku, Kobe, Hyogo"	https://www.police.pref.hyogo.jp/	2024-05-10
37	Fukuoka	Vietnam	"Passport,Residence Card,Original License,JAF Translation,Photo"	7450	"Document Check;Aptitude Test;Written Test (Vietnamese);Practical Test"	"1-1-1 Hanahata, Minami-ku, Fukuoka"	https://www.police.pref.fukuoka.jp/	2024-05-17
38	Kanagawa	China	"Passport,Residence Card,Original License,JAF Translation,Photo"	7650	"Document Check;Aptitude Test;Written Test (Chinese);Practical Test"	"2-3-1 Nakao, Asahi-ku, Yokohama, Kanagawa"	https://www.police.pref.kanagawa.jp/	2024-05-19
39	Osaka	Brazil	"Passport,Residence Card,Original License,JAF Translation,Photo"	7500	"Document Check;Aptitude Test;Written Test (Portuguese);Practical Test"	"1-1-10 Midorimachi, Kadoma, Osaka"	https://www.police.pref.osaka.lg.jp/	2024-05-20
40	Tokyo	Russia	"Passport,Residence Card,Original License,JAF Translation,Photo"	7800	"Document Check;Aptitude Test;Written Test (English);Practical Test"	"1-12-36 Samezu, Shinagawa-ku, Tokyo"	https://www.keishicho.metro.tokyo.lg.jp/	2024-05-15
41	Ibaraki	Vietnam	"Passport,Residence Card,Original License,JAF Translation,Photo"	7550	"Document Check;Aptitude Test;Written Test (Vietnamese);Practical Test"	"3-15-1 Sannomaru, Mito, Ibaraki"	https://www.pref.ibaraki.jp/kenkei/	2024-05-11
42	Gunma	Vietnam	"Passport,Residence Card,Original License,JAF Translation,Photo"	7600	"Document Check;Aptitude Test;Written Test (Vietnamese);Practical Test"	"3-1-4 Ote-machi, Maebashi, Gunma"	https://www.police.pref.gunma.jp/	2024-05-14
43	Tochigi	Vietnam	"Passport,Residence Card,Original License,JAF Translation,Photo"	7500	"Document Check;Aptitude Test;Written Test (Vietnamese);Practical Test"	"1-1-20 Hanawada, Utsunomiya, Tochigi"	https://www.pref.tochigi.lg.jp/police/	2024-05-16
44	Nagano	Vietnam	"Passport,Residence Card,Original License,JAF Translation,Photo"	7650	"Document Check;Aptitude Test;Written Test (Vietnamese);Practical Test"	"692-2 Minaminagano, Nagano"	https://www.pref.nagano.lg.jp/police/	2024-05-13
45	Mie	Vietnam	"Passport,Residence Card,Original License,JAF Translation,Photo"	7500	"Document Check;Aptitude Test;Written Test (Vietnamese);Practical Test"	"1-100 Sakae-machi, Tsu, Mie"	https://www.police.pref.mie.jp/	2024-05-18
46	Osaka	Thailand	"Passport,Residence Card,Original License,JAF Translation,Photo"	4500	"Document Check;Aptitude Test"	"1-1-10 Midorimachi, Kadoma, Osaka"	https://www.police.pref.osaka.lg.jp/	2024-05-20
47	Tokyo	Malaysia	"Passport,Residence Card,Original License,JAF Translation,Photo"	4500	"Document Check;Aptitude Test"	"1-12-36 Samezu, Shinagawa-ku, Tokyo"	https://www.keishicho.metro.tokyo.lg.jp/	2024-05-15
48	Aichi	Spain	"Passport,Residence Card,Original License,JAF Translation,Photo"	4500	"Document Check;Aptitude Test"	"2-1 Hirabari Minami, Tempaku-ku, Nagoya, Aichi"	https://www.pref.aichi.jp/police/	2024-05-18
49	Kanagawa	Italy	"Passport,Residence Card,Original License,JAF Translation,Photo"	4500	"Document Check;Aptitude Test"	"2-3-1 Nakao, Asahi-ku, Yokohama, Kanagawa"	https://www.police.pref.kanagawa.jp/	2024-05-19
50	Chiba	Switzerland	"Passport,Residence Card,Original License,JAF Translation,Photo"	4500	"Document Check;Aptitude Test"	"2-1 Hamada, Mihama-ku, Chiba"	https://www.police.pref.chiba.jp/	2024-05-21
