id	school_name	prefecture	course_type	duration_weeks	est_cost_yen	language_support	intake_schedule	notes
20	Narita Airport Driving School	Chiba	AT	3	350000	"Japanese, English"	"Every Monday"	"Intensive 'Gasshuku' (training camp) style course"
21	Kawasaki Driving Plaza	Kanagawa	MT	5	325000	"Japanese"	"Every Friday"	"Modern facilities and simulators"
22	Ikebukuro Driving School	Tokyo	AT	5	315000	"Japanese, Chinese, English"	"Flexible"	"Excellent access from Ikebukuro station"
23	Sakai Driving Center	Osaka	MT	4	310000	"Japanese"	"Every week"	"Large and easy to practice course"
24	Okazaki South Driving School	Aichi	AT	4	295000	"Japanese, Vietnamese"	"Every Tuesday"	"Hỗ trợ học viên Việt Nam nhiệt tình"
25	Funabashi Driving School	Chiba	AT	5	300000	"Japanese"	"Every other Monday"	"Online booking system for lessons"
26	Urawa Driving School	Saitama	MT	4	330000	"Japanese, English"	"Every Saturday"	"Experienced instructors"
27	Akashi Driving School	Hyogo	AT	4	290000	"Japanese"	"10th and 25th of each month"	"Discount campaign for students"
28	Okinawa Blue Ocean Driving	Okinawa	AT	2	280000	"Japanese"	"Every Monday"	"Gasshuku course with resort stay"
29	Niigata Winter Drive	Niigata	MT	3	360000	"Japanese"	"December to March"	"Gasshuku course specialized for snow roads"
30	Hamamatsu Driving School	Shizuoka	AT	4	300000	"Japanese, Portuguese, English"	"Every week"	"Very diverse student body"
31	Gifu Mountain View School	Gifu	MT	5	310000	"Japanese"	"1st of each month"	"Practice course includes mountain roads"
32	Adachi Driving School	Tokyo	AT	5	325000	"Japanese, Vietnamese"	"Every Wednesday"	"Có tài liệu học bằng tiếng Việt"
33	Hirakata Driving School	Osaka	AT	4	298000	"Japanese"	"Every Monday"	"Easy to schedule lessons"
34	Anjo Driving School	Aichi	AT	4	288000	"Japanese"	"Every other Thursday"	"One of the cheapest in the area"
35	Kashiwa Driving Center	Chiba	MT	5	315000	"Japanese, English"	"Every Saturday"	"Good for beginners"
36	Amagasaki Driving School	Hyogo	AT	4	305000	"Japanese, Korean"	"Every week"	"Shuttle bus to Amagasaki station"
37	Tachikawa Driving School	Tokyo	AT	6	340000	"Japanese"	"Every Friday"	"Focus on courtesy on the road"
38	Izumiotsu Seaside School	Osaka	MT	4	320000	"Japanese"	"1st and 15th of each month"	"Learn to drive next to the ocean"
39	Ichinomiya Driving School	Aichi	AT	5	300000	"Japanese, English"	"Every Monday"	"Patient and kind instructors"
40	Kawagoe Driving School	Saitama	AT	4	290000	"Japanese, Tagalog"	"Every week"	"Support for Filipino students"
41	Shizuoka Fuji View School	Shizuoka	MT	2.5	340000	"Japanese"	"Every Monday"	"Gasshuku course with a view of Mt. Fuji"
42	Okayama Peach Driving School	Okayama	AT	4	285000	"Japanese"	"Every Wednesday"	"Friendly and welcoming atmosphere"
43	Kumamoto Driving College	Kumamoto	AT	4	290000	"Japanese"	"1st of each month"	"Discount for local residents"
44	Kagoshima Sakurajima School	Kagoshima	MT	5	330000	"Japanese"	"Every other Monday"	"Includes practice driving on winding roads"
45	Nara Deer Park Driving	Nara	AT	5	315000	"Japanese, English"	"Every Saturday"	"Caution: deer may appear on practice course"
46	Wakayama Orange School	Wakayama	AT	4	295000	"Japanese"	"Every week"	"Small class sizes for personalized attention"
47	Mie Ise Jingu Driving School	Mie	MT	4	325000	"Japanese"	"Every Tuesday"	"Located in a historic area"
48	Shiga Lake Biwa Driving	Shiga	AT	5	310000	"Japanese"	"1st of each month"	"Enjoy the view of Lake Biwa while you learn"
49	Fukui Dinosaur Driving School	Fukui	AT	4	300000	"Japanese"	"Every Wednesday"	"Unique local-themed school"
50	Tottori Sand Dunes Driving	Tottori	MT	3	350000	"Japanese"	"Every Monday"	"Gasshuku course, very intensive"
